Month,Day,Hour,Houston,Austin,San Antonio,Dallas,Midland
1,1,0,-0.084151868298164800,-0.096569070973102800,-0.096569070973102800,-0.099016328386869300,-0.004717735039326530
1,1,1,-0.099958692695495000,-0.112762095443208000,-0.112762095443208000,-0.110857523384031000,-0.005902898918916860
1,1,2,-0.107277117767147000,-0.116254685598758000,-0.116254685598758000,-0.110819004288579000,-0.005354809973972060
1,1,3,-0.105334460182625000,-0.107411206892281000,-0.107411206892281000,-0.098609625725216500,-0.003156654718308600
1,1,4,-0.087900874485016300,-0.078985988520975600,-0.078985988520975600,-0.067191774752223100,0.001425045973772870
1,1,5,-0.046832710539804300,-0.019003462984407400,-0.019003462984407400,-0.005930664002215340,0.009500372474298210
1,1,6,0.010406467839320600,0.069708972429378500,0.069708972429378500,0.081553072444391500,0.022504840499297500
1,1,7,0.041398753753887900,0.125604423197612000,0.125604423197612000,0.135816966629980000,0.031104182958762000
1,1,8,0.051890419851129000,0.125533587733532000,0.125533587733532000,0.135560027471821000,0.025189858945204100
1,1,9,0.057624639874660000,0.098617865800538100,0.098617865800538100,0.113878574206184000,0.015490558656731300
1,1,10,0.058069876561685100,0.062554424413296100,0.062554424413296100,0.085419822019608700,0.005155816416403770
1,1,11,0.052187383851428000,0.028492639012357600,0.028492639012357600,0.050402362689863900,-0.004010321501103600
1,1,12,0.041575965879321400,-0.000501676109726419,-0.000501676109726419,0.015630096770599200,-0.013500447251868700
1,1,13,0.033086654621845300,-0.024756254448775800,-0.024756254448775800,-0.017051215317576000,-0.018507553455748400
1,1,14,0.023211446611315900,-0.040370370525323000,-0.040370370525323000,-0.044297605516359500,-0.022425982890864600
1,1,15,0.016332017893791300,-0.043098710951307700,-0.043098710951307700,-0.058918360907680100,-0.024409693478784300
1,1,16,0.014467137136853200,-0.028932441828868700,-0.028932441828868700,-0.051181188788008200,-0.023391870140251900
1,1,17,0.030676100760545800,0.009906023833639170,0.009906023833639170,-0.008462037562695190,-0.020439210459198800
1,1,18,0.059534243073618300,0.070155436108085900,0.070155436108085900,0.045672569394876400,-0.000616185101799383
1,1,19,0.055348475079969400,0.074318466744638100,0.074318466744638100,0.048999086966286700,0.008958452067603310
1,1,20,0.042693924564753300,0.059108544687069500,0.059108544687069500,0.041263933493648100,0.011828084411427500
1,1,21,0.018934022002060400,0.030186839135066100,0.030186839135066100,0.017127510339078200,0.011054387789963200
1,1,22,-0.019398081997925000,-0.018813552576841900,-0.018813552576841900,-0.028558140508716900,0.004930024736500440
1,1,23,-0.056583723390010400,-0.066727706241632300,-0.066727706241632300,-0.070430553286166400,-0.000708261999821601
1,2,0,-0.084151868298164800,-0.096569070973102800,-0.096569070973102800,-0.099016328386869300,-0.004717735039326530
1,2,1,-0.099958692695495000,-0.112762095443208000,-0.112762095443208000,-0.110857523384031000,-0.005902898918916860
1,2,2,-0.107277117767147000,-0.116254685598758000,-0.116254685598758000,-0.110819004288579000,-0.005354809973972060
1,2,3,-0.105334460182625000,-0.107411206892281000,-0.107411206892281000,-0.098609625725216500,-0.003156654718308600
1,2,4,-0.087900874485016300,-0.078985988520975600,-0.078985988520975600,-0.067191774752223100,0.001425045973772870
1,2,5,-0.046832710539804300,-0.019003462984407400,-0.019003462984407400,-0.005930664002215340,0.009500372474298210
1,2,6,0.010406467839320600,0.069708972429378500,0.069708972429378500,0.081553072444391500,0.022504840499297500
1,2,7,0.041398753753887900,0.125604423197612000,0.125604423197612000,0.135816966629980000,0.031104182958762000
1,2,8,0.051890419851129000,0.125533587733532000,0.125533587733532000,0.135560027471821000,0.025189858945204100
1,2,9,0.057624639874660000,0.098617865800538100,0.098617865800538100,0.113878574206184000,0.015490558656731300
1,2,10,0.058069876561685100,0.062554424413296100,0.062554424413296100,0.085419822019608700,0.005155816416403770
1,2,11,0.052187383851428000,0.028492639012357600,0.028492639012357600,0.050402362689863900,-0.004010321501103600
1,2,12,0.041575965879321400,-0.000501676109726419,-0.000501676109726419,0.015630096770599200,-0.013500447251868700
1,2,13,0.033086654621845300,-0.024756254448775800,-0.024756254448775800,-0.017051215317576000,-0.018507553455748400
1,2,14,0.023211446611315900,-0.040370370525323000,-0.040370370525323000,-0.044297605516359500,-0.022425982890864600
1,2,15,0.016332017893791300,-0.043098710951307700,-0.043098710951307700,-0.058918360907680100,-0.024409693478784300
1,2,16,0.014467137136853200,-0.028932441828868700,-0.028932441828868700,-0.051181188788008200,-0.023391870140251900
1,2,17,0.030676100760545800,0.009906023833639170,0.009906023833639170,-0.008462037562695190,-0.020439210459198800
1,2,18,0.059534243073618300,0.070155436108085900,0.070155436108085900,0.045672569394876400,-0.000616185101799383
1,2,19,0.055348475079969400,0.074318466744638100,0.074318466744638100,0.048999086966286700,0.008958452067603310
1,2,20,0.042693924564753300,0.059108544687069500,0.059108544687069500,0.041263933493648100,0.011828084411427500
1,2,21,0.018934022002060400,0.030186839135066100,0.030186839135066100,0.017127510339078200,0.011054387789963200
1,2,22,-0.019398081997925000,-0.018813552576841900,-0.018813552576841900,-0.028558140508716900,0.004930024736500440
1,2,23,-0.056583723390010400,-0.066727706241632300,-0.066727706241632300,-0.070430553286166400,-0.000708261999821601
1,3,0,-0.084151868298164800,-0.096569070973102800,-0.096569070973102800,-0.099016328386869300,-0.004717735039326530
1,3,1,-0.099958692695495000,-0.112762095443208000,-0.112762095443208000,-0.110857523384031000,-0.005902898918916860
1,3,2,-0.107277117767147000,-0.116254685598758000,-0.116254685598758000,-0.110819004288579000,-0.005354809973972060
