MonthNum,WeekDayNum,DayNum,HourNum,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
1,1,1,23,-0.015501467,-0.025125154,0.006671132,-0.018695711,-0.022142112,0.038741804,-0.004856707,-0.008236616,-0.009483393
1,2,1,0,-0.056121819,-0.028112265,0.006589005,-0.038186095,-0.04663979,-0.020708674,-0.056597224,-0.036655324,-0.044078152
1,2,1,1,-0.102590151,-0.08641927,-0.01909384,-0.063057698,-0.097352919,-0.096347768,-0.110646311,-0.067724734,-0.092979641
1,2,1,2,-0.10941769,-0.116616801,-0.016417985,-0.069650709,-0.112694002,-0.111749679,-0.120945448,-0.069158263,-0.102299302
1,2,1,3,-0.121544196,-0.091883193,-0.019975168,-0.060583806,-0.105031592,-0.128186563,-0.12691033,-0.06620806,-0.105858919
1,2,1,4,-0.110511334,-0.07312232,-0.013200561,-0.044010549,-0.081045988,-0.124295233,-0.107638113,-0.047545967,-0.089291575
1,2,1,5,-0.086679085,-0.058589142,-0.008125511,-0.02951946,-0.063191737,-0.112692625,-0.081766557,-0.031516871,-0.069196769
1,2,1,6,-0.027631176,0.019099596,0.013918195,0.034974366,0.02983952,-0.047523309,0.000846663,0.028805013,0.002738457
1,2,1,7,0.065409311,0.13622495,0.054681491,0.137793204,0.160245625,0.084516618,0.134184325,0.133914613,0.115786724
1,2,1,8,0.07982423,0.14598886,0.043374161,0.149492568,0.171154162,0.087124983,0.156239163,0.144563909,0.125383622
1,2,1,9,0.082282339,0.145848472,0.053996002,0.147302039,0.167529906,0.086254742,0.142569992,0.138929189,0.124422036
1,2,1,10,0.080941783,0.112889705,0.039868159,0.113165961,0.127095169,0.065393413,0.102947833,0.097169793,0.098161512
1,2,1,11,0.085681282,0.089930812,0.014402832,0.091570261,0.103439322,0.055402074,0.083653804,0.064854843,0.082876171
1,2,1,12,0.072145067,0.061155721,0.018985948,0.061205485,0.071401973,0.039287844,0.046237364,0.037144434,0.059746592
1,2,1,13,0.057317012,0.018171888,0.000767368,0.023028918,0.031803372,0.022679696,0.011453704,-0.003360444,0.030674085
1,2,1,14,0.059713243,0.007543559,-0.014241377,0.009180163,0.015545069,0.028342319,-0.003031299,-0.027941666,0.021612883
1,2,1,15,0.040707172,-0.020169123,-0.012574471,-0.01517824,-0.014175484,0.010545036,-0.024923272,-0.045123615,-0.000341396
1,2,1,16,0.033767114,-0.028815203,-0.015141425,-0.025046448,-0.024869881,0.008706754,-0.026625423,-0.054323022,-0.007186262
1,2,1,17,0.038702183,-0.003709402,-0.025179092,-0.017515143,-0.016039339,0.027486464,-0.011983988,-0.055432459,0.001350122
1,2,1,18,0.056920764,0.035344848,-0.010947031,0.017488371,0.034480569,0.02933096,0.026847071,-0.023731945,0.033584697
1,2,1,19,0.095247724,0.101644087,0.023463707,0.073662113,0.10389198,0.103277552,0.107612574,0.045000625,0.093999804
1,2,1,20,0.084271081,0.105543649,0.016363259,0.070056734,0.098494609,0.111212799,0.104300945,0.04597284,0.088000857
1,2,1,21,0.076434161,0.095543563,0.037620261,0.073939124,0.099073602,0.111683728,0.101564681,0.059060141,0.088242982
1,2,1,22,0.02738376,0.050290941,0.024647574,0.034104361,0.051642537,0.068819656,0.045601919,0.027385656,0.042343841
1,2,1,23,-0.01362209,0.008106671,0.001281962,-0.010692085,-0.002961963,0.021848477,-0.012592639,-0.013344977,-0.004929146
1,3,1,0,-0.054321601,-0.040091973,0.012562967,-0.022495721,-0.029595609,-0.028281767,-0.044783387,-0.006903837,-0.035492885
1,3,1,1,-0.101239504,-0.083319074,-0.015027025,-0.059613419,-0.085425895,-0.096162171,-0.105168857,-0.060605449,-0.08728857
1,3,1,2,-0.106581066,-0.083500572,-0.014898072,-0.062007309,-0.093424806,-0.108883169,-0.112413427,-0.065482952,-0.092336937
1,3,1,3,-0.120953694,-0.095658297,-0.016758924,-0.061420977,-0.09629734,-0.128508421,-0.12205267,-0.059630929,-0.101975841
1,3,1,4,-0.111620848,-0.079127564,-0.009409368,-0.04507974,-0.075950752,-0.123532493,-0.103635589,-0.041406491,-0.087171954
1,3,1,5,-0.087557229,-0.049606024,-0.004691302,-0.023322346,-0.050390398,-0.102232489,-0.072194974,-0.02453544,-0.062257787
1,3,1,6,-0.030951566,0.012174535,0.018888908,0.031496161,0.030580259,-0.043541346,0.004964604,0.036217313,0.003065807
1,3,1,7,0.061100205,0.138263009,0.060043717,0.131609924,0.158406697,0.089166232,0.137867055,0.141408009,0.115222641
1,3,1,8,0.079759034,0.156012557,0.050559238,0.154097656,0.182861084,0.109142601,0.173843421,0.161164214,0.134855808
1,3,1,9,0.077745322,0.142683255,0.062257561,0.143604977,0.164716941,0.090113217,0.14228621,0.145882934,0.122817132
1,3,1,10,0.077198056,0.110303381,0.047151307,0.115347894,0.129007894,0.066863337,0.101619996,0.105990611,0.098228151
1,3,1,11,0.078355577,0.093252768,0.025737294,0.105012985,0.112294879,0.058916317,0.072587755,0.068617821,0.083146098
1,3,1,12,0.069014017,0.058833286,0.027317993,0.067911134,0.078214528,0.033949437,0.039928651,0.042637593,0.060379553
1,3,1,13,0.054634477,0.019721303,0.008464862,0.030943868,0.040691188,0.014517811,0.007429473,0.001094217,0.032417703
1,3,1,14,0.053238415,-0.002132927,-0.003393438,0.023480958,0.022518794,0.026859863,-0.019913065,-0.027907596,0.019628026
1,3,1,15,0.040200583,-0.023596197,-0.004131898,-0.005267415,-0.002599849,0.005579099,-0.024415988,-0.039668935,0.003898695
1,3,1,16,0.036116289,-0.025580173,-0.008765431,-0.01753769,-0.011490974,0.004833457,-0.025305247,-0.046145732,-0.00119255
1,3,1,17,0.035038694,-0.01110119,-0.010804452,0.002050689,0.006539226,0.02810182,-0.021377918,-0.045240388,0.007647579
1,3,1,18,0.058516077,0.03506159,-0.005023117,0.022118542,0.045904967,0.020394956,0.026695978,-0.015733445,0.037838381
1,3,1,19,0.096247295,0.104285646,0.03029519,0.079757259,0.112541383,0.0933608,0.105843409,0.052676665,0.096969495
1,3,1,20,0.081037495,0.104174018,0.03021197,0.092963999,0.121536857,0.103367878,0.105419851,0.058189611,0.095815095
1,3,1,21,0.080064839,0.104460822,0.04455305,0.082913043,0.110831348,0.104760025,0.104747114,0.066814113,0.09425284
1,3,1,22,0.033451412,0.064255809,0.030405621,0.043918755,0.064715322,0.064793193,0.052789334,0.036376893,0.050455861
1,3,1,23,-0.007472911,0.025306315,0.016780306,0.018226065,0.0285471,0.018222752,0.004981152,0.008275314,0.012356735
1,4,1,0,-0.048169585,-0.047507346,0.00530261,-0.044560736,-0.057426424,-0.032601021,-0.058624383,-0.032409893,-0.047723531
1,4,1,1,-0.08925221,-0.053756619,-0.012497427,-0.048525962,-0.070695359,-0.091325615,-0.085760218,-0.048016785,-0.074115668
1,4,1,2,-0.090969919,-0.048424781,-0.000876892,-0.035206026,-0.059682791,-0.106645311,-0.081139659,-0.034026592,-0.068606302
1,4,1,3,-0.106740178,-0.064401,-0.013176321,-0.050738857,-0.082186473,-0.118600021,-0.101670156,-0.045332012,-0.087708979
1,4,1,4,-0.095792581,-0.053337445,-0.007727097,-0.034877788,-0.062547772,-0.108882165,-0.084191554,-0.027589495,-0.072885944
1,4,1,5,-0.065979429,-0.016123179,0.010346213,0.00329285,-0.011152581,-0.095640956,-0.042188738,0.012936899,-0.034778674
1,4,1,6,-0.01537951,0.030152809,0.019690232,0.039253175,0.038031257,-0.028076558,0.019474053,0.04744156,0.014065962
1,4,1,7,0.075044123,0.141817594,0.058537587,0.133287546,0.158764031,0.104632277,0.147803809,0.146805022,0.121690753
1,4,1,8,0.099601486,0.197073725,0.063567588,0.17245349,0.21231972,0.117263445,0.19467575,0.19078566,0.15716341
1,4,1,9,0.09695382,0.156933577,0.060177839,0.145378078,0.16788237,0.116824372,0.163342511,0.156334338,0.134879746
1,4,1,10,0.098975541,0.117704533,0.044120029,0.111104406,0.128724283,0.099622425,0.129132599,0.11271487,0.110801956
1,4,1,11,0.10115076,0.112106338,0.027253381,0.106554642,0.127718988,0.084714665,0.117748073,0.089324945,0.104888387
1,4,1,12,0.087291205,0.058589924,0.019222964,0.052161708,0.064461053,0.065846802,0.070370257,0.041675332,0.066931887
1,4,1,13,0.070685712,0.017171673,0.000966533,0.006964687,0.02212527,0.044194839,0.034262248,-0.002325046,0.035714678
1,4,1,14,0.061014749,0.008597985,-0.005775747,0.006555465,0.017789213,0.037949891,0.016582621,-0.017530545,0.027070113
1,4,1,15,0.050755714,-0.027791533,-0.012524254,-0.036354953,-0.028644181,0.028329662,-0.005068825,-0.042957464,0.001161807
1,4,1,16,0.040415245,-0.03845195,-0.019244125,-0.0547517,-0.04526892,0.021356192,-0.012578601,-0.054061091,-0.010540779
1,4,1,17,0.032571566,-0.018742624,-0.019474346,-0.036778039,-0.018445457,0.02067029,-0.000833145,-0.049419381,-0.000431858
